Age,Annual_Income,Spending_Score,Savings,Loan_Amount,Gender,City,Education,Marital_Status,Profession
37,93960,24,41194,262496,Male,Delhi,PhD,Married,Doctor
53,55010,78,178628,20718,Male,Delhi,PhD,Divorced,Engineer
36,74154,41,178847,79877,Female,Bangalore,High School,Divorced,Teacher
43,55851,65,80882,59219,Male,Chennai,Bachelor,Divorced,Doctor
20,142761,17,171955,190026,Male,Ahmedabad,Bachelor,Single,Engineer
36,45496,24,142983,31285,Male,Chennai,PhD,Divorced,Teacher
37,143568,27,197867,115545,Male,Ahmedabad,Bachelor,Married,Business
49,147152,7,152944,263531,Female,Chennai,High School,Married,Engineer
24,50936,73,74072,136527,Male,Delhi,Master,Divorced,Doctor
69,98858,99,124919,78179,Female,Chennai,High School,Married,Engineer
58,87005,12,86968,132185,Male,Chennai,Bachelor,Single,Engineer
50,57493,85,108251,206228,Male,Chennai,High School,Married,Doctor
57,89795,3,45537,276011,Male,Chennai,Master,Married,Business
56,56390,79,110254,292721,Female,Bangalore,High School,Divorced,Engineer
35,30292,85,148932,164719,Male,Bangalore,Bachelor,Single,Doctor
57,112377,10,162815,96007,Female,Delhi,Master,Single,Engineer
18,48365,33,174631,206707,Male,Delhi,Bachelor,Married,Other
28,37207,46,73941,149959,Female,Ahmedabad,Master,Married,Business
45,121735,59,164277,48314,Female,Delhi,PhD,Divorced,Other
42,42912,52,18645,184275,Male,Bangalore,Master,Divorced,Engineer
67,122455,6,113661,5059,Male,Delhi,Bachelor,Single,Business
40,122517,2,72473,93231,Male,Ahmedabad,PhD,Divorced,Doctor
48,100771,29,51734,204372,Female,Ahmedabad,PhD,Single,Other
47,76572,40,162503,268938,Male,Bangalore,Bachelor,Single,Business
59,127293,97,128705,267141,Female,Delhi,Bachelor,Married,Business
52,119083,61,61914,277865,Female,Ahmedabad,High School,Single,Engineer
24,133655,68,18882,195358,Female,Delhi,Bachelor,Single,Other
33,129346,68,91860,272830,Female,Delhi,Master,Single,Doctor
43,39276,29,175418,239363,Female,Bangalore,PhD,Single,Teacher
65,117459,62,145051,200335,Female,Bangalore,High School,Married,Engineer
69,25534,60,101513,67722,Female,Delhi,High School,Divorced,Business
66,112005,84,119751,188645,Male,Chennai,High School,Divorced,Other
19,121610,41,45828,148960,Male,Chennai,PhD,Single,Teacher
18,55670,87,139300,280677,Female,Mumbai,High School,Divorced,Business
65,82147,82,121354,157988,Male,Mumbai,PhD,Divorced,Other
29,118099,89,75217,66422,Male,Mumbai,PhD,Single,Other
22,131695,65,107500,275288,Female,Bangalore,High School,Single,Teacher
54,56486,64,74803,246815,Male,Delhi,PhD,Divorced,Business
49,85557,79,71908,96045,Female,Ahmedabad,High School,Married,Teacher
26,54268,63,39918,199784,Female,Delhi,Bachelor,Divorced,Doctor
58,127338,98,142992,265658,Male,Delhi,Master,Single,Engineer
52,101335,48,28785,168590,Female,Mumbai,Bachelor,Divorced,Engineer
36,46336,20,83757,28830,Female,Delhi,Master,Divorced,Doctor
65,23641,37,157250,223957,Male,Mumbai,PhD,Married,Business
33,107132,64,100490,295839,Male,Delhi,PhD,Divorced,Teacher
20,52959,91,72997,281847,Female,Ahmedabad,High School,Divorced,Engineer
37,33306,86,110768,157550,Male,Chennai,Bachelor,Single,Doctor
41,66182,5,15052,72918,Female,Chennai,Bachelor,Married,Other
50,94123,34,50383,297272,Male,Bangalore,PhD,Divorced,Engineer
41,76326,39,132399,58250,Male,Ahmedabad,Bachelor,Divorced,Engineer
69,116895,67,89301,227191,Male,Delhi,Master,Single,Doctor
28,41498,81,71775,112777,Female,Ahmedabad,PhD,Single,Teacher
66,90198,62,76614,111616,Male,Delhi,High School,Married,Engineer
25,122630,88,139110,51799,Female,Ahmedabad,High School,Married,Teacher
53,127369,24,9048,230300,Female,Ahmedabad,PhD,Married,Doctor
55,47197,3,15954,12644,Female,Chennai,PhD,Single,Other
57,40719,71,189613,59560,Male,Ahmedabad,High School,Single,Engineer
37,110201,89,177543,110589,Male,Bangalore,Master,Single,Teacher
52,128775,67,113010,290306,Female,Delhi,Bachelor,Single,Teacher
65,45032,79,14225,150222,Female,Mumbai,PhD,Married,Business
42,79624,93,106622,100373,Male,Ahmedabad,PhD,Married,Teacher
52,98177,50,145603,41003,Male,Mumbai,Master,Married,Teacher
42,61964,29,10530,56746,Male,Chennai,High School,Single,Doctor
46,50028,74,191107,71923,Male,Mumbai,PhD,Single,Teacher
35,131030,32,25791,137055,Female,Bangalore,Master,Single,Business
63,74646,87,106806,52114,Female,Bangalore,PhD,Single,Other
35,101187,39,133721,102687,Male,Chennai,Master,Divorced,Business
19,28536,9,145544,56274,Female,Bangalore,Master,Married,Other
52,137399,14,91721,223411,Male,Delhi,High School,Married,Engineer
33,76747,68,28134,286522,Male,Bangalore,Bachelor,Divorced,Other
58,65712,64,198525,257816,Male,Ahmedabad,High School,Married,Other
53,26273,20,144516,274692,Male,Bangalore,Master,Single,Business
50,91820,28,173193,44621,Female,Delhi,Bachelor,Married,Doctor
21,145342,14,130326,253660,Female,Chennai,Bachelor,Single,Doctor
50,111228,44,39217,202383,Female,Bangalore,High School,Single,Other
31,94353,98,154138,262870,Male,Delhi,High School,Single,Business
38,114491,77,132067,91901,Female,Ahmedabad,PhD,Divorced,Doctor
65,112091,95,37189,232315,Male,Mumbai,Bachelor,Married,Doctor
37,105914,97,119903,120423,Female,Mumbai,Master,Single,Business
25,70830,39,195549,257537,Male,Chennai,PhD,Married,Other
24,126718,28,167561,94673,Female,Chennai,PhD,Divorced,Engineer
20,37127,64,28284,285014,Male,Mumbai,PhD,Married,Business
34,135150,89,25698,50738,Female,Mumbai,PhD,Married,Business
50,103488,32,175732,72537,Female,Chennai,High School,Married,Business
65,31539,9,20637,246015,Female,Mumbai,Bachelor,Married,Other
29,66761,28,180096,229471,Female,Bangalore,PhD,Divorced,Other
68,66219,95,61405,146118,Female,Delhi,Bachelor,Married,Business
39,34692,17,62305,159724,Female,Chennai,Master,Single,Doctor
39,103656,87,34556,281030,Female,Delhi,Bachelor,Divorced,Engineer
63,33334,77,83176,175020,Male,Ahmedabad,High School,Married,Teacher
47,48615,55,121644,209402,Male,Ahmedabad,Bachelor,Married,Business
55,27903,10,98012,116705,Male,Bangalore,Master,Single,Business
55,48527,80,4654,120431,Female,Ahmedabad,Master,Divorced,Other
62,35629,6,41428,273306,Female,Chennai,PhD,Divorced,Other
68,141690,48,130814,87293,Male,Bangalore,Master,Single,Teacher
25,78008,75,170108,141977,Female,Bangalore,PhD,Married,Other
44,103276,67,176621,131614,Male,Chennai,High School,Married,Other
44,119318,92,96379,115580,Female,Mumbai,High School,Divorced,Doctor
51,46708,41,66355,43457,Male,Delhi,High School,Divorced,Engineer
38,30860,79,194191,89940,Female,Chennai,Bachelor,Married,Doctor
47,37438,60,47257,24676,Female,Mumbai,Master,Single,Business
50,87300,77,114435,77433,Female,Mumbai,Master,Single,Doctor
45,149263,42,106866,149942,Female,Ahmedabad,Master,Married,Teacher
64,91545,81,148059,281363,Female,Bangalore,PhD,Single,Doctor
50,40842,71,152882,218049,Female,Bangalore,PhD,Divorced,Other
22,80213,28,21311,125082,Male,Ahmedabad,High School,Married,Teacher
65,62372,13,113695,190366,Male,Ahmedabad,Master,Single,Teacher
36,134316,81,55478,7948,Male,Bangalore,Bachelor,Single,Business
21,118971,15,166992,40902,Female,Chennai,Bachelor,Divorced,Business
52,88906,36,9738,219579,Male,Chennai,High School,Divorced,Other
66,58744,92,74424,13969,Female,Chennai,PhD,Married,Engineer
34,136082,15,63232,67805,Male,Chennai,PhD,Divorced,Teacher
61,77442,75,109400,287790,Male,Ahmedabad,PhD,Divorced,Other
45,149070,56,6474,196638,Male,Delhi,High School,Married,Business
47,105990,95,60026,60818,Female,Delhi,High School,Single,Business
46,141670,4,67024,8678,Female,Bangalore,Master,Divorced,Engineer
63,126917,99,51974,245116,Male,Delhi,Master,Married,Teacher
23,123903,98,156216,98055,Female,Chennai,Master,Divorced,Teacher
52,23650,52,6622,120686,Male,Ahmedabad,Bachelor,Divorced,Other
58,65117,91,184345,128439,Female,Chennai,Bachelor,Single,Engineer
54,111244,10,98366,123189,Male,Mumbai,Master,Divorced,Doctor
41,128198,94,40214,271158,Female,Ahmedabad,Bachelor,Divorced,Other
46,72772,45,94184,141179,Male,Mumbai,Bachelor,Divorced,Teacher
66,23190,84,99233,42423,Female,Mumbai,PhD,Single,Other
63,68113,29,190065,125015,Female,Bangalore,PhD,Divorced,Other
48,28789,53,157295,127308,Male,Mumbai,High School,Married,Other
52,52125,29,22865,112416,Female,Delhi,PhD,Married,Other
50,118695,23,195721,299476,Female,Delhi,Master,Single,Teacher
69,37459,57,44026,262572,Female,Mumbai,PhD,Single,Engineer
38,55418,50,90037,269805,Female,Bangalore,Bachelor,Single,Engineer
49,131904,21,191279,140870,Female,Mumbai,Bachelor,Divorced,Business
40,67085,43,158938,202148,Female,Ahmedabad,Master,Single,Business
50,38768,10,144488,192132,Female,Ahmedabad,Master,Married,Doctor
20,69961,76,26775,292994,Female,Ahmedabad,PhD,Married,Engineer
35,101099,30,161152,220777,Female,Ahmedabad,PhD,Divorced,Other
42,142735,51,20374,254246,Male,Mumbai,PhD,Divorced,Business
59,47885,33,59451,139229,Female,Chennai,High School,Divorced,Other
48,107421,18,184671,47280,Female,Chennai,High School,Divorced,Doctor
20,81082,78,83141,188217,Male,Ahmedabad,Master,Married,Engineer
57,26895,22,16684,118032,Female,Bangalore,PhD,Married,Teacher
63,70311,64,25002,10209,Female,Bangalore,Bachelor,Single,Doctor
41,109494,21,92551,66402,Female,Mumbai,High School,Divorced,Teacher
67,87067,1,131704,216098,Female,Chennai,Master,Married,Engineer
49,91017,15,155044,12645,Male,Mumbai,High School,Married,Teacher
64,43932,36,198225,107458,Female,Delhi,PhD,Single,Engineer
39,41360,47,178476,142090,Female,Ahmedabad,Bachelor,Married,Other
40,74847,54,7309,162446,Male,Delhi,Bachelor,Married,Doctor
19,129178,86,85675,116375,Male,Delhi,Master,Divorced,Other
